time,q1,q2,qd1,qd2
13.040000000000001,1.8542221238814887,-4.515043745872429,-0.8932579167799719,-2.246960315656017
13.06,1.8370376047140908,-4.561049637800409,-0.8250002388245035,-2.3533481028124603
13.08,1.8212536015007545,-4.609236754126677,-0.7532055810394026,-2.4651090568426812
13.1,1.806941264440912,-4.659722233260131,-0.6778285314646585,-2.583220887763612
13.120000000000001,1.7941733941323368,-4.712644878030955,-0.598748305514688,-2.708874818010656
13.14,1.7830261556426201,-4.768169999379173,-0.5157477671287316,-2.843533917380244
13.16,1.7735812720965585,-4.826495641286774,-0.4284862940944394,-2.9890133679140343
13.18,1.7659288507136435,-4.887860722607468,-0.33646341653671263,-3.147592629836552
13.200000000000001,1.7601710718790862,-4.95255588382252,-0.23896847710669128,-3.3221749535963996
13.22,1.7564270933335742,-5.020938222809624,-0.13500881169146656,-3.5165187187789373
13.24,1.7548397158785338,-5.093451740058014,-0.02320433282044959,-3.7355803442222753
13.26,1.7555846751312394,-5.170656361071925,0.09837153527892518,-3.9860348807491772
13.280000000000001,1.7588839567581438,-5.253270167826906,0.23243850048818876,-4.277086799108991
13.3,1.7650254414268876,-5.342232499317285,0.3829019609045175,-4.621765748636287
13.32,1.7743927407585838,-5.438800808913274,0.5554914456389386,-5.039044438739958
13.34,1.7875116411583958,-5.544702893126577,0.7588059746981279,-5.557332370073804
13.36,1.8051229843891725,-5.662378279765958,1.0059548139996293,-6.220038369178473
13.38,1.8282913466160289,-5.795344058044911,1.3165527317642298,-7.092649745943517
13.4,1.8585203571862554,-5.948604293439388,1.7152841592088501,-8.259739041808233
13.42,1.8975712029161533,-6.128158638266753,2.202108014464681,-9.733084318351942
13.44,1.9454799766142725,-6.334826107679502,2.5962596989598907,-10.956848316300068
13.46,1.995549835734868,-6.548390738632045,2.412101463123118,-10.40390142351525
13.48,2.0376810778541303,-6.738068180144341,1.8179427405738622,-8.615931280471079
13.5,2.0688543939598647,-6.895364566169408,1.3129013649533527,-7.154193011560704
13.52,2.091335178913425,-7.028086062235823,0.9427146735695944,-6.1396962970667515
13.540000000000001,2.1073208982700655,-7.14349005061756,0.6601639878030097,-5.412546290686931
13.56,2.1182177188742966,-7.246184426184528,0.43215610800279103,-4.8637314388327795
13.58,2.1249170594517537,-7.339084729244665,0.23949850299822056,-4.430440278094148
13.6,2.1280089067262353,-7.424118975243024,0.07086751084475512,-4.075563420406161
13.620000000000001,2.127902026293569,-7.502618801279135,-0.08070887857771847,-3.776036659029756
13.64,2.1248917114702213,-7.57553719044464,-0.21969186486685477,-3.516796953724268
13.66,2.119199751239962,-7.643575091494043,-0.34901613601405823,-3.2875673331214466
13.68,2.1109992601391463,-7.707258627794522,-0.4706399220538575,-3.0810667871577726
13.700000000000001,2.1004308834791034,-7.7669882647604735,-0.5858669469172141,-2.8919667904213813
13.72,2.0876138598573895,-7.8230713474708855,-0.6955434583284588,-2.716257439066059
13.74,2.0726538781415615,-7.875744384088776,-0.8001842131507491,-2.550848490149355
13.76,2.055648844544726,-7.925188793087412,-0.9000568378658937,-2.393310690936331
13.780000000000001,2.036693218953613,-7.971542368852273,-0.9952413228159656,-2.2417040138107023
13.8,2.015881315625415,-8.01490788159768,-1.0856745568982706,-2.094461510341938
13.82,1.99330980541843,-8.05535972880808,-1.1711859242606038,-1.9503097848748154
13.84,1.969079560189978,-8.09294924815854,-1.251527664851959,-1.8082141417952353
13.86,1.943296921031764,-8.127709105767739,-1.3264022314897597,-1.6673406211836095
13.88,1.9160744374963479,-8.159657043715457,-1.395487884008369,-1.5270296477700844
13.9,1.8875311073912624,-8.188799181103718,-1.4584630507494374,-1.3867775639990911
13.92,1.8577921414704461,-8.215132998334555,-1.515029460987514,-1.2462232935459934
13.94,1.8269882812249445,-8.238650085735527,-1.5649336652180954,-1.1051380223730947
13.96,1.7952547083174608,-8.259338699992501,-1.6079862997768353,-0.9634162364781811
13.98,1.762729598499595,-8.277186142224194,-1.6440783179397114,-0.8210668113136312
14,1.7295523885515736,-8.292180948619206,-1.6731934035334117,-0.6782031646724789
14.02,1.6958618393636713,-8.304314867902084,-1.6954159009819945,-0.5350317942789976
14.040000000000001,1.6617939894028098,-8.313584589476536,-1.7109338220892225,-0.39183883492111976
14.06,1.6274800985827116,-8.319993181956166,-1.7200367962978953,-0.24897458337586215
14.08,1.593044681764779,-8.323551203775738,-1.7231091785472983,-0.10683623677369278
14.1,1.5586037233851195,-8.324277455134668,-1.7206188724597227,0.034150650843184804
14.120000000000001,1.524263150543161,-8.322199352656924,-1.7131027229498292,0.17355129142327344
14.14,1.4901176226054706,-8.31735292343112,-1.7011495459898238,0.31094054586348496
14.16,1.4562496728623868,-8.309782431796677,-1.6853819718617509,0.44592072177298514
14.18,1.42272921420329,-8.299539668535681,-1.6664382751585582,0.5781375061486751
14.200000000000001,1.3896133983057075,-8.28668294629707,-1.6449552587563445,0.707293398561044
14.22,1.35694679831953,-8.271275855719463,-1.6215530711473105,0.8331582156327022
14.24,1.32476186981885,-8.253385842904066,-1.5968225960643514,0.9555764758845587
14.26,1.293079634622757,-8.233082670246267,-1.5713157922809855,1.0744717169214595
14.280000000000001,1.261910527060678,-8.210436819338314,-1.5455391099159372,1.1898480183570541
14.3,1.2312553419388905,-8.185517887341684,-1.5199498918454915,1.3017891838769486
14.32,1.2011062270068156,-8.158393017846372,-1.494955501220162,1.410456162917927
14.34,1.171447669040232,-8.12912539487232,-1.4709148061837447,1.51608336427872
14.36,1.1422574305976527,-8.097772815373688,-1.4481416004058956,1.6189745365620312
14.38,1.1135074029773695,-8.064386342242926,-1.4269095366729938,1.719498875989903
14.4,1.0851643489809997,-8.029009026955354,-1.4074581906839796,1.81808798702038
14.42,1.0571905160592836,-7.991674678881723,-1.3899999424147553,1.9152342831357323
14.44,1.0295441057721217,-7.952406646804559,-1.3747274529955686,2.0114913920984394
14.46,1.0021795889063103,-7.911216566827367,-1.3618216186021384,2.1074771394657192
14.48,0.9750478568423168,-7.868103018833783,-1.3514599955986604,2.2038797442091527
14.5,0.9480961986604229,-7.823050019723707,-1.3438258135693055,2.3014679913432965
14.52,0.921268089783329,-7.776025264148017,-1.339117830312743,2.4011063749138
14.540000000000001,0.8945027712585322,-7.7269780000690655,-1.337561446574957,2.5037765682555055
14.56,0.8677345883828628,-7.675836393935804,-1.3394217070723717,2.6106071343433217
14.58,0.8408920420767291,-7.6225041938721,-1.3450190977845091,2.7229142266859454
14.6,0.8138964842930421,-7.566856432043182,-1.3547494533917042,2.8422572918110767
14.620000000000001,0.7866603567044705,-7.508733808680963,-1.3691098842012048,2.9705156922031026
14.64,0.7590848250672116,-7.447935253784344,-1.3887335294351864,3.1099950785721053
14.66,0.7310565923600185,-7.384207942974075,-1.4144373131093138,3.2635768060960952
14.68,0.7024435702644278,-7.3172337124980045,-1.4472889697411118,3.4349305373482975
14.700000000000001,0.6730889333893684,-7.246610317240298,-1.4887027426076749,3.628820498231195
14.72,0.6428028509673119,-7.171825227670093,-1.540577577989702,3.851550550839892
14.74,0.6113508673500393,-7.092218597722032,-1.6054967424604232,4.111610660865398
14.76,0.5784375168020149,-7.0069307398983,-1.6870090478620607,4.420593537641717
14.780000000000001,0.5436835844666421,-6.914828763060334,-1.7899889332801808,4.794381234296063
14.8,0.5065967313534279,-6.8144109565779365,-1.920943929116818,5.254198155131508
14.82,0.4665430865026571,-6.703712269483174,-2.087590203962752,5.825387928167926
14.84,0.42276083060457686,-6.58034051357907,-2.294935496295231,6.525117984566921
14.86,0.374573501292131,-6.44214647548101,-2.5286795323300115,7.309552427638584
14.88,0.3222091461889208,-6.28983063433567,-2.710645016934601,7.931111834371885
14.9,0.2682554677533906,-6.131593559533354,-2.684713682699952,7.892565100499644
14.92,0.2171661993340598,-5.981560405060284,-2.4279394493361703,7.122538271195668
14.94,0.1717686923246925,-5.848637082091751,-2.118203977710366,6.189886611296567
14.96,0.13207200756075954,-5.7327468437783144,-1.8565548152902516,5.4150196101228
14.98,0.09703271306959593,-5.630493282641378,-1.6507635907702016,4.820835815568393
15,0.0656721381370311,-5.538712959943284,-1.4875179335010524,4.364046072834224
15.02,0.03726672694191828,-5.455066286464791,-1.3545219303951022,4.005218591210756
15.040000000000001,0.011301157060907348,-5.3778793822351485,-1.2430788417857046,3.7166689476628796
15.06,-0.012594950555663453,-5.305938508882548,-1.1472809641416113,3.479717063842709
15.08,-0.034692995939669194,-5.238341965213056,-1.0630745686625829,3.2816386443237016
15.1,-0.055195722010134174,-5.174402790987886,-0.9876112050022321,3.1135693991044127
15.120000000000001,-0.0742570431986561,-5.113585306997217,-0.9188350243458778,2.9691785377240363
15.14,-0.09199521077713338,-5.0554630438168235,-0.8552225321656555,2.8438354051550805
15.16,-0.10850174651837259,-4.999690204845186,-0.7956160995577376,2.7340781135767833
15.18,-0.1238476428004825,-4.945981843591265,-0.7391151277977672,2.6372672797188947
15.200000000000001,-0.1380877572724134,-4.894099778003138,-0.6850032233691914,2.551355077859284
15.22,-0.15126398723488504,-4.8438423694829,-0.6326983418717628,2.474727676847424
15.24,-0.1634076006255185,-4.795036963352423,-0.5817179117731921,2.4060954335998814
15.26,-0.1745409717648635,-4.747534200250311,-0.5316539438042795,2.3444148514163876
15.280000000000001,-0.1846788888044067,-4.701203667898046,-0.48215493766252016,2.288832106987996
15.3,-0.19382954750929762,-4.655930529936417,-0.43291250878581283,2.238641506854763
15.32,-0.20199531164817877,-4.611612878395251,-0.38365135607706163,2.1932544627288673
15.34,-0.2091732972811014,-4.5681596299410385,-0.33412163937098677,2.152176000036316
15.36,-0.2153558226208266,-4.525488836239082,-0.2840931288059664,2.1149867428026767
15.38,-0.2205307543943974,-4.483526313594094,-0.23335068441240722,2.081328934432284
15.4,-0.22468177416742013,-4.442204521588329,-0.1816907581716774,2.0508954700001008
15.42,-0.2277885828934621,-4.401461638011016,-0.12891870434921426,2.0234212009145334
15.44,-0.22982705834987913,-4.361240790132263,-0.07484675091277018,1.99867597115528
15.46,-0.23076937768035943,-4.321489411766897,-0.01929253427296053,1.9764589839810431
15.48,-0.23058411569241422,-4.282158702583009,0.03792186266823004,1.9565941974726047
15.5,-0.22923632866190294,-4.2432031714158684,0.09697039915035159,1.9389265187356612
15.52,-0.22668763304944617,-4.2045802494266935,0.15802309687435445,1.9233186182237791
15.540000000000001,-0.22289628865312494,-4.166249962137443,0.22124557524762417,1.909648223008546
15.56,-0.21781729625635315,-4.128174651923763,0.28679806502685673,1.897805774722884
15.58,-0.2114025207469024,-4.0903187446412215,0.35483384532637563,1.8876923569574602
15.6,-0.20360085196106745,-4.052648555833199,0.4254970313904295,1.8792178099264198
15.620000000000001,-0.19435841712643617,-4.015132133529468,0.49891962399605516,1.8722989585362224
15.64,-0.18361886071128813,-3.9777391360769987,0.5752177164541639,1.8668578845642085
15.66,-0.1713237096937532,-3.9404407448153154,0.6544867431342593,1.8628201753098603
15.68,-0.15741284466222322,-3.9032096127672102,0.7367956463096874,1.8601130806947848
15.700000000000001,-0.14182509962046894,-3.8660198518907207,0.8221798390876524,1.858663509517115
15.72,-0.12449901568800252,-3.8288470628293685,0.9106328559506452,1.8583957951978645
15.74,-0.10537377573571094,-3.7916684124569624,1.00209661571076,1.8592291647947516
15.76,-0.08439034789522475,-3.7544627657163274,1.096450283797623,1.8610748570324123
15.780000000000001,-0.06149286512494678,-3.71721087905085,1.193497824333234,1.8638328631236252
15.8,-0.03663026461413141,-3.679895662685886,1.2929544936492958,1.867388319716863
15.82,-0.009758203405249792,-3.6425025174148504,1.394432765538736,1.871607682986299
15.84,0.019158746554467927,-3.6050197472764274,1.4974285161117487,1.876334978723967
15.860000000000001,0.05014464182710544,-3.567439040994106,1.6013087507629273,1.881388680710832
15.88,0.08320949868674593,-3.529756000241468,1.7053027306641517,1.8865601397244747
15.9,0.11834650527156303,-3.4919706694547776,1.8084990176464495,1.8916149667980087
15.92,0.15552926477851475,-3.454087988398967,1.9098515972509067,1.896299308173962
15.94,0.19470928714222172,-3.416118045634508,2.0081986306897637,1.900353367744037
15.96,0.2358140154699493,-3.378075964080976,2.1022971327775473,1.903534502781107
15.98,0.27874572544285636,-3.3399812130904385,2.190875430136505,1.9056512348816557
16,0.32338164174537065,-3.301856139412455,2.272702094822321,1.9066070395099117
16.02,0.36957553972251195,-3.2637235740811756,2.34666507165633,1.906448618471442
16.04,0.4171609153883714,-3.225603529603779,2.411848846613287,1.9054083006790457
16.06,0.4659555179346837,-3.1875092480434843,2.467593081741285,1.903926447861717
16.080000000000002,0.5157667076122717,-3.149443138354945,2.513516397507029,1.90264037632549
16.1,0.5663968450533301,-3.1113933403514515,2.549496125955791,1.902333470414586
16.12,0.6176478629214232,-3.0733316542634532,2.5756076833749955,1.903850559724175
16.14,0.6693243790849839,-3.0352133273046342,2.5920404795788206,1.9079979444923778
16.16,0.7212351244976071,-2.996978759527393,2.599014434410837,1.915452223723675
16.18,0.7731929197445703,-2.9585567437591167,2.5967187730776082,1.9266982720053303
